"u_parent_asset.parent","u_parent_asset","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"","","Microphone","C002649","C002649","A3381500856N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002650","C002650","A3381500854N","VIHA-PHH-Port Hardy Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002651Q","C002651","A3381500858N","VIHA-VGH-Victoria General Hospital","ED","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002652","C002652","A3381500859N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002653","C002653","A3381500860N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002654","C002654","A3381500857N","VIHA-PHH-Port Hardy Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002655","C002655","A3381500864N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002656","C002656","A3381500861N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002657","C002657","A3381500863N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002658","C002658","A3381500862N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002807","C002807","A3381500849N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002808","C002808","A3381500852N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","AO000525","Microphone","C002809","C002809","A3381500850N","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","DT1326","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002810","C002810","A3381500428N","VIHA-CRTA-Campbell River Twelve Avenue","Office 5","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002811","C002811","A3381500426N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002812","C002812","A3381500427N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002813","C002813","A3381500851N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002814","C002814","A3381500425N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002816","C002816","A3381500421N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002817","C002817","A3381500424N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002818","C002818","A3381500422N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002819","C002819","A3381500419N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002820","C002820","A3381500417N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002821","C002821","A3381500420N","VIHA-CICHC-Cormorant Island Community Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002822","C002822","A3381500418N","VIHA-CICHC-Cormorant Island Community Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002823","C002823","A3381500429N","VIHA-CICHC-Cormorant Island Community Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002824","C002824","A3381500430N","VIHA-CICHC-Cormorant Island Community Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002825","C002825","A3381500432N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002826","C002826","A3381500431N","VIHA-CCDF-Cumberland Community Dialysis Facility","R109","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C003504","C003504","A3381500908N","VIHA-CDH-Cowichan District Hospital-Main Building","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C004326","C004326","A3031967502N3","VIHA-WCGH-West Coast General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004327","C004327","A3031967492N3","VIHA-WCGH-West Coast General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004328","C004328","A3031967486N3","VIHA-WCGH-West Coast General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004329","C004329","A3031967500N3","VIHA-WCGH-West Coast General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004330","C004330","A3031967299N3","VIHA-WCGH-West Coast General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004662","C004662","A27916D01252N9","","CV1703","0POWM3N9","NUANCE COMMUNICATIONS"
"","","Microphone","C004697","C004697","B3152280347N9","VIHA-CVNC-Comox Valley Nursing Centre","exam room 6","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004711","C004711","BX0622303801N9","VIHA-CVH-Comox Valley Hospital","PC024431","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004712","C004712","","VIHA-CVH-Comox Valley Hospital","PC024526","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004713","C004713","","VIHA-CVH-Comox Valley Hospital","LD062928","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004714","C004714","","VIHA-CVH-Comox Valley Hospital","PC024375","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004715","C004715","","VIHA-CVH-Comox Valley Hospital","PC024376","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004716","C004716","BX27923D27726N9","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004717","C004717","BX27923D27714N9","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004726","C004726","2413148647","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","CV2310","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004727","C004727","2413148650","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","CV2319","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004728","C004728","2413148641","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","CV2223","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004953","C004953","B3152283034N9","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004954","C004954","B3152280354N9","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004955","C004955","B3482288582N9","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004963","C004963","BX0622303794N9","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004964","C004964","B3482288607N9","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004965","C004965","B3482288610N9","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C004967","C004967","2447177279","VIHA-GRHC-Gold River Health Centre-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C005120","C005120","A2531401278N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005345","C005345","A3281400095N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005358","C005358","A3281400089N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005359","C005359","A3281400092N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005360","C005360","A3281400096N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005361","C005361","A3281400094N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005362","C005362","A3281400090N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005363","C005363","A3281400091N","VIHA-RJH-Royal Jubilee Hospital","DT1455","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005364","C005364","A3281400085N","VIHA-NDC-Nanaimo Dufferin Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005366","C005366","A3281400088N","VIHA-NDC-Nanaimo Dufferin Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005475","C005475","A328140001n","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005527","C005527","A2531401277N","VIHA-NRGH-Nanaimo Regional General Hospital","237","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005569","C005569","A3011401993N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005570","C005570","A3011403165N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005571","C005571","A3011401991N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005572","C005572","A3011401997N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005573","C005573","A3011403167N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005575","C005575","A3281401339N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005576","C005576","A3281401338N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005577","C005577","A3281401340N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005578","C005578","A3281401336N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005579","C005579","A3281401337N","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","ER","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005580","C005580","A3281401335N","VIHA-NRGH-Nanaimo Regional General Hospital","B022","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005618","C005618","A3281400087N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005644","C005644","A1171500387N","VIHA-NRGH-Nanaimo Regional General Hospital","B022","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005725","C005725","A1101500709N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005737","C005737","A2531401284N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005740","C005740","A3011401333N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005741","C005741","A3011401329N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005745","C005745","A3011401334N","VIHA-NRGH-Nanaimo Regional General Hospital","Hospitalist Room","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005747","C005747","A2261301029N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005770","C005770","A3281400082N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005776","C005776","A32381400084N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005849","C005849","A3011401994N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005850","C005850","A3011401996N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C005990","C005990","A3011403154N","VIHA-NRGH-Nanaimo Regional General Hospital","G111","",""
"","","Microphone","C005991","C005991","A3011403153N","VIHA-NRGH-Nanaimo Regional General Hospital","G003","",""
"","","Microphone","C005992","C005992","A3011403155N","VIHA-OHC-Oceanside Health Centre","","",""
"","","Microphone","C005993","C005993","A3011403158N","VIHA-OHC-Oceanside Health Centre","","",""
"","","Microphone","C005994","C005994","A3011403157N","VIHA-NRGH-Nanaimo Regional General Hospital","G001","",""
"","","Microphone","C005995","C005995","A3011403160N","VIHA-NRGH-Nanaimo Regional General Hospital","14","",""
"","","Microphone","C005996","C005996","A3011403159N","VIHA-NRGH-Nanaimo Regional General Hospital","r1012","",""
"","","Microphone","C005997","C005997","A3011403168N","VIHA-NRGH-Nanaimo Regional General Hospital","G038","",""
"","","Microphone","C005998","C005998","A3011403162N","VIHA-NRGH-Nanaimo Regional General Hospital","HIRU","",""
"","","Microphone","C005999","C005999","A3011403164N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","",""
"","","Microphone","C006000","C006000","A3011403161N","VIHA-NRGH-Nanaimo Regional General Hospital","G038","",""
"","","Microphone","C006001","C006001","A3011403163N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C006002","C006002","A3011403166N","VIHA-NRGH-Nanaimo Regional General Hospital","EDL","",""
"","","Microphone","C006008","C006008","A3011403156N","VIHA-NRGH-Nanaimo Regional General Hospital","G005","",""
"","","Microphone","C006035","C006035","A3011401330N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006036","C006036","A3011401332N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006037","C006037","A3011401331N","VIHA-NRGH-Nanaimo Regional General Hospital","EDL","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006038","C006038","A3381500484N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006039","C006039","A3381500481N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006040","C006040","A3381500482N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006041","C006041","A3381500488N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006042","C006042","A3381500486N","VIHA-NRGH-Nanaimo Regional General Hospital","3034","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006043","C006043","A3381500485N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006044","C006044","A3381500490N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006046","C006046","A3381500489N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006047","C006047","A3381500491N","VIHA-CDH-Cowichan District Hospital","ED","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006048","C006048","A3381500494N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006050","C006050","A3381500496N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006051","C006051","A3411500115N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006052","C006052","A3381500495N","VIHA-NRGH-Nanaimo Regional General Hospital","5034","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006053","C006053","A3381500487N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006054","C006054","A3381500493N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006056","C006056","A3381500865N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006057","C006057","A3381500867N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006058","C006058","A3381500868N","VIHA-NRGH-Nanaimo Regional General Hospital","5034","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006059","C006059","A3381500872N","VIHA-NRGH-Nanaimo Regional General Hospital","B227","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006060","C006060","A3381500866N","VIHA-NRGH-Nanaimo Regional General Hospital","g1111","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006061","C006061","A3381500869N","VIHA-NRGH-Nanaimo Regional General Hospital","Conference Room","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006062","C006062","A3381500870N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006063","C006063","A3381500871N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006064","C006064","A3381500874N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006065","C006065","A3381500875N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006066","C006066","A3381500876N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006067","C006067","A3381500873N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006068","C006068","A3381500877N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006069","C006069","A3381500880N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006070","C006070","A3381500878N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006072","C006072","A3411500947N","VIHA-NRGH-Nanaimo Regional General Hospital","B249","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006073","C006073","A3411500945N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006074","C006074","A3411500946N","VIHA-NRGH-Nanaimo Regional General Hospital","G111","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006075","C006075","A3411500948N","VIHA-NRGH-Nanaimo Regional General Hospital","G005","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006076","C006076","A3411500952N","VIHA-NRGH-Nanaimo Regional General Hospital","Cystoscopy Dictation Area","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006077","C006077","A3411500951N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006078","C006078","A3411500949N","VIHA-NRGH-Nanaimo Regional General Hospital","Cystoscopy Dictation Area","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006079","C006079","A3411500950N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006080","C006080","A3411500953N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006081","C006081","A3411500954N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006082","C006082","A3411500956N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006083","C006083","A3411500955N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006084","C006084","A3411500957N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006085","C006085","A3411500960N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006086","C006086","A3411500959N","VIHA-NRGH-Nanaimo Regional General Hospital","Nursing Station","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006092","C006092","A3481501292N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C006094","C006094","A3481501291N","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006096","C006096","A3381500478N","VIHA-NRGH-Nanaimo Regional General Hospital","1011","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006097","C006097","A3381500470N","VIHA-NRGH-Nanaimo Regional General Hospital","1012","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006098","C006098","A3381500479N","VIHA-NRGH-Nanaimo Regional General Hospital","R1090","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006099","C006099","A3381500476N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006100","C006100","A3381500465N","VIHA-NRGH-Nanaimo Regional General Hospital","ICU","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006101","C006101","A3381500468N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006102","C006102","A3381500477N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006103","C006103","A3411500904N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006104","C006104","A3381500466N","VIHA-NRGH-Nanaimo Regional General Hospital","1013","0POWM2N-005","NUANCE COMMUNICATIONS"
"AO000578","AO000578-CRT","Microphone","AO000578-MIC","C006105","A3381500474N","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","OR9","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006107","C006107","A3411500910N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006109","C006109","A3411500902N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006110","C006110","A3381500472N","VIHA-NRGH-Nanaimo Regional General Hospital","nurse staion","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006113","C006113","A3411500900N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006114","C006114","A3411500899N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006115","C006115","A3411500897N","VIHA-NRGH-Nanaimo Regional General Hospital","ED","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006116","C006116","A3381500475N","VIHA-NRGH-Nanaimo Regional General Hospital","nurse staion","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006117","C006117","A3411500911N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006118","C006118","A3381500469N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006120","C006120","A3411500159N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006121","C006121","A3411500153N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006122","C006122","A3411500909N","VIHA-NRGH-Nanaimo Regional General Hospital","ED","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006123","C006123","A3411500119N","VIHA-NRGH-Nanaimo Regional General Hospital","ED, C2","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006124","C006124","A3411500908N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006126","C006126","A3411500898N","VIHA-NRGH-Nanaimo Regional General Hospital","1187","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006128","C006128","A3411500906N","VIHA-NRGH-Nanaimo Regional General Hospital","B224","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006129","C006129","A3411500912N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006130","C006130","A3381500471N","VIHA-NRGH-Nanaimo Regional General Hospital","B004","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006131","C006131","A3411500905N","VIHA-NRGH-Nanaimo Regional General Hospital","G093","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006132","C006132","A3381500467N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006133","C006133","A3411500157N","VIHA-NRGH-Nanaimo Regional General Hospital","B251","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006134","C006134","A3411500156N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006135","C006135","A3381500473N","VIHA-NRGH-Nanaimo Regional General Hospital","G116","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006136","C006136","A3411500152N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006137","C006137","A3411500150N","VIHA-NRGH-Nanaimo Regional General Hospital","B250","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006138","C006138","A3411500151N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006139","C006139","A3411500148N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006140","C006140","A3411500907N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006141","C006141","A3411500154N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C006142","C006142","A3411500146N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
