"name","u_keywords","location","u_floor","u_room","model_id","u_department_location","asset_tag","u_building","u_last_rounded_date","serial_number","assignment_group","cost_center","comments","short_description","u_hot_spare","os","install_status","department","u_device_rounding","sys_updated_on","po_number","u_category","u_scheduled_retirement","u_last_scanned_date","u_special_handle","os_version"
"AO000001","","VIHA-GRH-Gorge Road Hospital-Main Building-4th Floor","","434","Tangent MEDIX 22B V12","","HSS-8091468","","","C24805M056","NTT-Deskside Services-RoyalJubilee-Local","10.71.455200000","","","false","Windows 11 Enterprise","Operational","VGH Occupational Therapy","Mobile Cart","08/10/2025 21:30:15","VIHATRP20241125-063","All-in-One","01/31/2029","08/09/2025","","10.0.22631"
"AO000002","","VIHA-GRH-Gorge Road Hospital-Main Building-4th Floor","","413A","Tangent MEDIX 22B V12","","HSS-8091466","","","C24529M087","NTT-Deskside Services-RoyalJubilee-Local","10.71.455200000","","","false","Windows 11 Enterprise","Operational","VGH Occupational Therapy","Mobile Cart","08/10/2025 21:13:06","VIHATRP20241125-061","Desktop","10/31/2028","08/09/2025","","10.0.22631"
"AO000003","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","N585","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8073896","PCC","06/25/2025","C23202M119","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210103400","","","false","Windows 11 Enterprise","Operational","RJH 5N","Mobile Cart","08/10/2025 21:16:49","VIHATRP20230424-073","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000004","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-1st Floor","1","HW106","Tangent MEDIX 22B V5","Primary Care Memory Clinic","HSS-8076155","Memorial Pavilion","07/07/2025","C23106M160","NTT-Deskside Services-RoyalJubilee-Staffed","33.71.510953700","","","false","Windows 11 Enterprise","Operational","DTC DT Victoria UPCC","Mobile Cart","08/10/2025 21:28:19","VIHATRP20230710-056","All-in-One","08/31/2027","08/09/2025","","10.0.22631"
"AO000005","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","5","RJH Heart Cath Lab","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074620","Pcc","07/09/2025","C23106M135","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","Mobile Cart","08/09/2025 22:01:45","VIHATRP20230522-077","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000006","","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-2nd Floor","2","RP201","Tangent MEDIX 22B V5","MsClinic","HSS-8076190","Richmond Pavilion","03/17/2025","C23106M158","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.350458000","","","false","Windows 11 Enterprise","Operational","RJH MS Clinic","Mobile Cart","08/09/2025 22:08:06","VIHATRP20230710-093","All-in-One","08/31/2027","08/09/2025","","10.0.22631"
"AO000007","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1st Floor","ER","TANGENT MEDIX 22B V9","Emergency","HSS-8093983","D&T","","C24102M056","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.310200000","","","false","Windows 11 Enterprise","Operational","RJH Emergency","Mobile Cart","08/10/2025 21:31:37","ISLHTRP20250623-001","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000008","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","2","APTA Lab testing office","DT Research DT592BU","","C003779","Memorial Pav","06/02/2023","2BUN348B1612043","NTT-Deskside Services-RoyalJubilee-Staffed","","","","false","Microsoft Windows 10 Enterprise","Operational","","Mobile Cart","05/30/2024 16:58:51","","All-in-One","","11/04/2023","",""
"AO000009","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","S545","","General Medicine-General Surgery","C003795","PCC","07/17/2025","2BUN348B1612052-DUP","NTT-Deskside Services-RoyalJubilee-Staffed","","","Tangent T22B AIO","false","","Operational","","Mobile Cart","07/17/2025 13:00:32","","All-in-One","","","",""
"AO000009","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SW)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074621","PCC","06/19/2025","C23106M130","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 21:41:13","VIHATRP20230522-078","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO00001","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","2","Ravi and Deans office","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","","HSS-8078326","Memorial Pav","","C23719M010","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Windows 11 Enterprise","Operational","COS Device Management","Mobile Cart","08/09/2025 21:41:47","VIHATRP20230911-076","All-in-One","10/31/2027","08/08/2025","","10.0.22631"
"AO000010","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SW)","Tangent MEDIX 22B V5","PCC 5SW","HSS-8074626","PCC","07/03/2025","C23106M147","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 21:42:04","VIHATRP20230522-083","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000011","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SE)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074622","PCC","06/19/2025","C23106M129","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/10/2025 21:33:14","VIHATRP20230522-079","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000013","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SE)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074628","PCC","06/19/2025","C23106M145","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 21:48:33","VIHATRP20230522-085","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000014","","VIHA-GRH-Gorge Road Hospital-Main Building-3rd Floor","","Hallway","DT Research DT592BU","Bridgeview","","Main","09/25/2024","2BUN348B1612078","NTT-Deskside Services-RoyalJubilee-Local","","Asset tag c003774","","false","Windows 10 Enterprise","Operational","","General Rounding","08/10/2025 21:09:07","","All-in-One","","08/09/2025","","10.0.19045"
"AO000015","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3","DT3241","","Surgical Day Care (SDC)","C003910","D&T","06/13/2025","C163172299-DUP","NTT-Deskside Services-RoyalJubilee-Staffed","","","Tangent T22B AIO","false","","Operational","","Mobile Cart","06/13/2025 08:15:04","","All-in-One","","","",""
"AO000015","","VIHA-RJH-Royal Jubilee Hospital","","","DT Research DT592BU"," ","","","","2BUN348B1612080","NTT-Deskside Services-RoyalJubilee-Staffed","","","","false","Windows 10 Enterprise","Operational","","Excluded","08/09/2025 22:12:06","","All-in-One","","08/09/2025","","10.0.19045"
"AO000017","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","3","S345","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","PCC 3SW","HSS-8078343","PCC","07/19/2025","C23719M039","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.220402100","","","false","Windows 11 Enterprise","Operational","RJH Cardiac Surgery 3NW","Mobile Cart","08/10/2025 21:17:12","VIHATRP20230911-093","All-in-One","10/31/2027","08/09/2025","","10.0.22631"
"AO000018","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SE)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074623","PCC","06/19/2025","C23106M143","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 22:09:08","VIHATRP20230522-080","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000019","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor","6","S685 (Nursing Station)","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","Orthopedic Surgery - Bone Health","HSS-8078351","Patient Care Center","06/22/2025","C23719M017","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.220101000","","","false","Windows 11 Enterprise","Operational","RJH Gen Surg & Bone Health 6S","Mobile Cart","08/14/2025 06:32:39","VIHATRP20230911-101","All-in-One","10/31/2027","08/09/2025","","10.0.22631"
"AO00002","","VIHA-RJH-Royal Jubilee Hospital-West Block-3rd Floor","3","unknown","Tangent MEDIX T22B V7"," ","AO00002","West Block","02/25/2024","C163172262","NTT-Deskside Services-RoyalJubilee-Staffed","","","","false","Microsoft Windows 10 Enterprise","Operational","","Mobile Cart","03/16/2025 10:03:01","","All-in-One","","07/13/2021","",""
"AO000021","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SW)","Tangent MEDIX 22B V5","PCC 5SW","HSS-8074624","PCC","06/19/2025","C23106M148","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/10/2025 21:25:10","VIHATRP20230522-081","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000022","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SW)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074627","PCC","06/25/2025","C23106M150","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","Mobile Cart","08/10/2025 21:22:56","VIHATRP20230522-084","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000024","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","N545","Tangent MEDIX 22B V5","Clinical Teaching Unit","HSS-8074625","PCC","06/25/2025","C23106M149","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","Mobile Cart","08/09/2025 21:35:11","VIHATRP20230522-082","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000025","","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-3rd Floor","3","RP302A","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","Hospice","HSS-8078334","Richmond Pav","08/01/2025","C23719M029","NTT-Deskside Services-RoyalJubilee-Staffed","32.71.290002000","","","false","Microsoft Windows 10 Enterprise","Operational","HSP RP3 In Patient Unit","Mobile Cart","08/01/2025 18:26:21","VIHATRP20230911-084","All-in-One","10/31/2027","01/31/2025","",""
"AO000026","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1","DT1447","Tangent MEDIX 22B V5","endoscopy","HSS-8076113","D&T","08/03/2025","C23106M167","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.350103700","","","false","Windows 11 Enterprise","Operational","zz RJH COVID19 Long Haul 2401","Mobile Cart","08/09/2025 21:33:47","VIHATRP20230710-012","All-in-One","08/31/2027","08/08/2025","","10.0.22631"
"AO000027","","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-3rd Floor","3","RP302A","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","Hospice","HSS-8078333","Richmond Pav","08/01/2025","C23719M060","NTT-Deskside Services-RoyalJubilee-Staffed","32.71.290002000","","","false","Microsoft Windows 10 Enterprise","Operational","HSP RP3 In Patient Unit","Mobile Cart","08/01/2025 18:26:00","VIHATRP20230911-083","All-in-One","10/31/2027","11/30/2024","",""
"AO000029","","VIHA-RJH-Royal Jubilee Hospital-Coronation Annex-2nd Floor","2","Teaching Simulation Room","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","","HSS-8078309","Coronation Annex","","C23719M144","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210402200","","","false","Windows 10 Enterprise","Operational","RJH Med Card & Gen Med 3S","Mobile Cart","07/03/2025 17:02:53","VIHATRP20230911-059","All-in-One","10/31/2027","06/21/2025","","10.0.19045"
"AO00003","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Duplicate","Tangent MEDIX T22B V7","Duplicate","C003803","","","C18C10M214","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.125400700","","","false","Microsoft Windows 10 Enterprise","Operational","COV IHealth Devices","Excluded","03/16/2025 10:03:02","Lease Information Extract - HPFS Tangent","All-in-One","03/31/2022","01/08/2021","",""
"AO000031","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3rd Floor","DT3254 SDC","TANGENT MEDIX 22B V9","Post Anaesthetic Care Unit","HSS-8094486","Diagnostic & Treatment","","C24223M085","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.265200000","","","false","Windows 11 Enterprise","Operational","RJH Post Anaesthetic Care Unit","Mobile Cart","08/11/2025 21:00:57","ISLHTRP20250721-025","All-in-One","","08/10/2025","","10.0.22631"
"AO000032","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3rd Floor","CCU Unit Clerk Desk","TANGENT MEDIX 22B V9","Med Card & Gen Med 3S","HSS-8093985","D&T","","C24102M069","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210402200","","","false","Windows 11 Enterprise","Operational","RJH Med Card & Gen Med 3S","Mobile Cart","08/10/2025 21:31:55","ISLHTRP20250623-003","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000033","","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-1st Floor","1st Floor","Kidney Care 4S","TANGENT MEDIX 22B V9","MAU & Kidney Care 4S","HSS-8094505","Royal Jubilee Main","","C24223M040","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210850400","","","false","Windows 11 Enterprise","Operational","RJH MAU & Kidney Care 4S","","08/13/2025 21:27:08","ISLHTRP20250721-045","All-in-One","","08/12/2025","","10.0.22631"
"AO000034","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor","7th Floor","S745","TANGENT MEDIX 22B V9","Gen Surg & Wound Care 7S","HSS-8094034","PCC","07/10/2025","C24102M082","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.220100100","","","false","Windows 11 Enterprise","Operational","RJH Gen Surg & Wound Care 7S","Mobile Cart","08/10/2025 21:24:16","ISLHTRP20250623-052","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000036","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3rd Floor","RJH Heart Cath Lab","TANGENT MEDIX 22B V9","Heart Health Adm","HSS-8094485","Diagnostic & Treatment","","C24223M017","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.305001100","","","false","Windows 11 Enterprise","Operational","ACV Heart Health Adm","","08/10/2025 21:05:13","ISLHTRP20250721-024","All-in-One","","08/09/2025","","10.0.22631"
"AO000037","","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor","1","RB154","Tangent Medix T22B AiO 3517U","Therapy Services","HSS-1035547","Royal Block","01/15/2024","C22328M005","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Windows 10 Enterprise","Operational","COS Device Management","Mobile Cart","08/10/2025 21:08:23","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","08/09/2025","","10.0.19045"
"AO000038","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1","DT1354 - Hallway","Tangent Medix T22B AiO 3517U","Emergency Department","HSS-1035548","D&T","07/23/2025","C22328M006","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Windows 10 Enterprise","Operational","COS Device Management","Mobile Cart","08/09/2025 21:56:28","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","08/08/2025","","10.0.19045"
"AO00004","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","2","unknown","Tangent MEDIX M24"," ","C004144","Memorial Pavilion","11/26/2023","C17613M048","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","Deployed to Dean Hauca for Testing","","false","Microsoft Windows 10 Enterprise","Operational","COS Device Management","Mobile Cart","11/07/2024 14:44:28","Lease Information Extract - HPFS Tangent","All-in-One","09/30/2021","01/08/2021","",""
"AO000040","","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-2nd Floor","2","unknown","Tangent Medix T22B AiO 3517U","","","Royal Jubilee","","C22328M007","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Microsoft Windows 10 Enterprise","Operational","COS Device Management","Mobile Cart","01/14/2025 21:49:56","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","01/13/2025","",""
"AO000041","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3rd Floor","DT3230 PACU","TANGENT MEDIX 22B V9","Post Anaesthetic Care Unit","HSS-8094474","Diagnostic & Treatment","","C24223M076","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.265200000","","","false","Windows 11 Enterprise","Operational","RJH Post Anaesthetic Care Unit","Mobile Cart","08/10/2025 21:27:12","ISLHTRP20250721-015","All-in-One","","08/09/2025","","10.0.22631"
"AO000042","","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","3","LDR Hallway","Tangent Medix T22B AiO 3517U","LDR","HSS-1035551","Main Building","03/11/2025","C22328M009","NTT-Deskside Services-VictoriaGen-Staffed","91.71.125403500","","Replacement device","false","Windows 10 Enterprise","Operational","COS Device Management","General Rounding","08/11/2025 21:03:17","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","08/10/2025","","10.0.19045"
"AO000043","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor","4th Floor","N445","TANGENT MEDIX 22B V9","MAU & Kidney Care 4S","HSS-8093992","PCC","07/13/2025","C24102M016","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210850400","","","false","Windows 11 Enterprise","Operational","RJH MAU & Kidney Care 4S","Mobile Cart","08/03/2025 22:14:54","ISLHTRP20250623-010","All-in-One","05/31/2028","08/02/2025","","10.0.22631"
"AO000044","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5th Floor","N545","TANGENT MEDIX 22B V9","5N","HSS-8094027","Patient Care Center","07/03/2025","C24102M060","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210103400","","","false","Windows 11 Enterprise","Operational","RJH 5N","Mobile Cart","08/10/2025 21:13:01","ISLHTRP20250623-045","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000045","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor","7","N785","Tangent Medix T22B AiO 3517U","General Surgery - Thoracics","HSS-1035554","Patient Care Center","05/07/2025","C22328M012","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Microsoft Windows 10 Enterprise","Operational","COS Device Management","Mobile Cart","05/07/2025 07:28:31","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","12/09/2022","",""
"AO000046","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor","4th Floor","S445","TANGENT MEDIX 22B V9","","HSS-8093993","Patient Care Center","08/01/2025","C24102M001","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210850400","","","false","Windows 11 Enterprise","Operational","RJH MAU & Kidney Care 4S","Mobile Cart","08/10/2025 21:20:37","ISLHTRP20250623-011","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000049","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1st Floor","DT1437 ENDO","TANGENT MEDIX 22B V9","Amb Care and MQC Admin","HSS-8094483","Diagnostic & Treatment","","C24223M044","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005300","","","false","","Operational","ACV Amb Care and MQC Admin","Mobile Cart","08/01/2025 10:51:30","ISLHTRP20250721-022","All-in-One","","","",""
"AO00005","","VIHA-RJH-Royal Jubilee Hospital-West Block-3rd Floor","3","unknown","Tangent MEDIX M24"," ","C009082","PCC","11/26/2023","C19301M203","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.125400700","Test device for Dean and Nick","","false","Microsoft Windows 10 Enterprise","Operational","COV IHealth Devices","Mobile Cart","11/07/2024 14:44:27","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2022","01/03/2021","",""
"AO000050","","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor","","RB144 Palliative","TANGENT MEDIX 22B V9","","HSS-8094501","","","C24223M078","NTT-Deskside Services-RoyalJubilee-Staffed","82.71.505008100","","","false","Windows 11 Enterprise","Operational","HPV End Of Life Admin","","08/13/2025 21:33:15","ISLHTRP20250721-040","All-in-One","","08/12/2025","","10.0.22631"
"AO000051","","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor","","RB150 Palliative","TANGENT MEDIX 22B V9","","HSS-8094503","","","C24223M015","NTT-Deskside Services-RoyalJubilee-Staffed","82.71.505008100","","","false","Windows 11 Enterprise","Operational","HPV End Of Life Admin","","08/10/2025 21:20:41","ISLHTRP20250721-042","All-in-One","","08/09/2025","","10.0.22631"
"AO000052","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1st Floor","DT1438 ENDO","TANGENT MEDIX 22B V9","Amb Care and MQC Admin","HSS-8094480","Diagnostic & Treatment","","C24223M002","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005300","","","false","Windows 11 Enterprise","Operational","ACV Amb Care and MQC Admin","Mobile Cart","08/10/2025 21:14:46","ISLHTRP20250721-019","All-in-One","","08/09/2025","","10.0.22631"
"AO000053","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3rd Floor","DT3241 SDC","TANGENT MEDIX 22B V9","Post Anaesthetic Care Unit","HSS-8094476","Diagnostic & Treatment","","C24223M042","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.265200000","","","false","","Operational","RJH Post Anaesthetic Care Unit","Mobile Cart","08/01/2025 10:51:29","ISLHTRP20250721-017","All-in-One","","","",""
"AO000054","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1st Floor","DT1438 ENDO","TANGENT MEDIX 22B V9","Amb Care and MQC Admin","HSS-8094481","Diagnostic & Treatment","","C24223M016","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005300","","","false","Windows 11 Enterprise","Operational","ACV Amb Care and MQC Admin","Mobile Cart","08/12/2025 21:09:26","ISLHTRP20250721-020","All-in-One","","08/11/2025","","10.0.22631"
"AO000055","","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-2nd Floor","2","unknown","Tangent Medix T22B AiO 3517U","","","D&T","","C22328M022","NTT-Deskside Services-RoyalJubilee-Staffed","","","","false","Windows 10 Enterprise","Operational","","Mobile Cart","08/10/2025 21:12:51","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","08/09/2025","","10.0.19045"
"AO000056","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-Basement 1","B","DT0156","Tangent Medix T22B AiO 3517U","MDR","HSS-1035565","Diagnostic & Treatment","06/23/2023","C22328M023","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Windows 10 Enterprise","Operational","COS Device Management","Mobile Cart","07/03/2025 14:52:21","Lease Information Extract - HPFS Tangent","All-in-One","06/30/2025","06/04/2025","","10.0.19045"
"AO000057","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3rd Floor","CCU Unit Clerk Desk","TANGENT MEDIX 22B V9","Med Card & Gen Med 3S","HSS-8093986","Diagnostic & Treatment","","C24102M070","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210402200","","","false","Windows 11 Enterprise","Operational","RJH Med Card & Gen Med 3S","Mobile Cart","08/09/2025 21:33:18","ISLHTRP20250623-004","All-in-One","05/31/2028","08/08/2025","","10.0.22631"
"AO000058","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room","Tangent MEDIX 22B V5","Clinical Teaching Unit","HSS-8073898","PCC","07/03/2025","C23202M159","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210103400","","","false","Windows 11 Enterprise","Operational","RJH 5N","Mobile Cart","08/09/2025 21:35:12","VIHATRP20230424-075","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000059","","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","3rd Floor","ICU","TANGENT MEDIX 22B V9","Physician Contracts","HSS-8093867","Main Building","","C24102M127","NTT-Deskside Services-VictoriaGen-Staffed","90.71.110106000","","","false","Windows 11 Enterprise","Operational","ACV Physician Contracts","Mobile Cart","08/10/2025 21:30:55","ISLHTRP20250616-030","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000061","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor","4th Floor","N485","TANGENT MEDIX 22B V9","MAU & Kidney Care 4S","HSS-8094020","Patient Care Center","08/01/2025","C24102M132","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210850400","","","false","Windows 11 Enterprise","Operational","RJH MAU & Kidney Care 4S","Mobile Cart","08/09/2025 22:14:45","ISLHTRP20250623-038","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000062","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","","HW214 Exam #2 Pain Clinic","TANGENT MEDIX 22B V9","","HSS-8094498","","","C24223M071","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.340560000","","","false","","Operational","GOH Colorectal Cancer Screenin","Mobile Cart","08/01/2025 10:51:32","ISLHTRP20250721-037","All-in-One","","","",""
"AO000063","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor","7th Floor","S745","TANGENT MEDIX 22B V9","Gen Surg & Wound Care 7S","HSS-8094039","Patient Care Center","07/10/2025","C24223M019","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.220100100","","","false","Windows 11 Enterprise","Operational","RJH Gen Surg & Wound Care 7S","Mobile Cart","08/09/2025 21:56:33","ISLHTRP20250623-057","All-in-One","07/31/2029","08/08/2025","","10.0.22631"
"AO000064","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor","8th Floor","N845 - West","TANGENT MEDIX 22B V9","Patient Triage Coord Prgm","HSS-8094040","Patient Care Center","","C24223M159","NTT-Deskside Services-RoyalJubilee-Staffed","84.71.205101100","","","false","Windows 11 Enterprise","Operational","RJH Patient Triage Coord Prgm","Mobile Cart","08/09/2025 21:32:04","ISLHTRP20250623-058","All-in-One","07/31/2029","08/08/2025","","10.0.22631"
"AO000065","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor","8th Floor","S845 - West","TANGENT MEDIX 22B V9","Gen Med & Oncology Care 8S","HSS-8094041","Patient Care Center","07/10/2025","C24223M158","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210100700","","","false","Windows 11 Enterprise","Operational","RJH Gen Med & Oncology Care 8S","Mobile Cart","08/14/2025 21:04:37","ISLHTRP20250623-059","All-in-One","07/31/2029","08/13/2025","","10.0.22631"
