"company","serial_number","name","asset","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1269742-0033","AO000029-CRT","AO000029-CRT","ERGOTRON","C50-3510-0","AO000029","VIHA-RJH-Royal Jubilee Hospital-Coronation Annex-2nd Floor"
"Island Health","1297847-0033","AO000031-CRT","AO000031-CRT","ERGOTRON","C50-3510-0","AO000031","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1268836-0015","AO000032-CRT","AO000032-CRT","ERGOTRON","C50-3500-0","AO000032","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1297850-0063","AO000033-CRT","AO000033-CRT","ERGOTRON","C50-3510-0","","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-1st Floor"
"Island Health","1297847-0018","AO000034-CRT","AO000034-CRT","ERGOTRON","C50-3510-0","AO000034","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1297850-0035","AO000041-CRT","AO000041-CRT","ERGOTRON","C50-3510-0","AO000041","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1297850-0053","AO000042-CRT","AO000042-CRT","ERGOTRON","C50-3510-0","AO000042","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1297846-0025","AO000043-CRT","AO000043-CRT","ERGOTRON","C50-3510-0","AO000043","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1297847-0023","AO000045-CRT","AO000045-CRT","ERGOTRON","C50-3510-0","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1297850-0009","AO000049-CRT","AO000049-CRT","ERGOTRON","C50-3510-0","AO000049","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1296598-0014","AO000050-CRT","AO000050-CRT","ERGOTRON","SV43-2570-0","AO000050","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor"
"Island Health","1296598-0003","AO000051-CRT","AO000051-CRT","ERGOTRON","SV43-2570-0","AO000051","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor"
"Island Health","1297847-0030","AO000052-CRT","AO000052-CRT","ERGOTRON","C50-3510-0","AO000052","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1269742-0051","AO000053-CRT","AO000053-CRT","ERGOTRON","C50-3510-0","AO000053","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1297850-0012","AO000054-CRT","AO000054-CRT","ERGOTRON","C50-3510-0","AO000054","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1297846-0052","AO000056-CRT","AO000056-CRT","ERGOTRON","C50-3510-0","AO000056","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-Basement 1"
