"u_parent_asset","u_parent_asset.parent","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"","","Barcode Scanner","166233","166233","24306010560172","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","KW315","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166234","166234","24306010560158","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","N444","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166235","166235","24306010560234","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","N444","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166237","166237","24306010560226","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","N444","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166238","166238","24307010550392","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","S741","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166374","166374","25006010553311","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor","Conference Room","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166375","166375","25006010553320","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor","Conference Room","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166384","166384","25036010551223","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","3704","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166387","166387","24345010557510","VIHA-RJH-Royal Jubilee Hospital-Eric Martin Pavilion-4th Floor","415","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166390","166390","24345010557489","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","DT3208","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166391","166391","24345010557494","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","DT3208","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166392","166392","24345010557349","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166393","166393","24345010557371","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166394","166394","25058010554825","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","KW312","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166405","166405","24270010561677","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-2nd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166406","166406","24269010551730","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","KW315","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166442","166442","25307010551220","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166443","166443","25307010551064","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166444","166444","25323010557301","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166445","166445","25323010557320","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166446","166446","25307010551204","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166447","166447","25323010557572","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166448","166448","24269010551716","VIHA-VGA-Victoria Glanford Avenue-Main Building-3rd Floor","","BARCODE SCANNER DS8178-HC","Zebra"
"","","Barcode Scanner","166460","166460","24268010563195","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","","BARCODE SCANNER DS8178-HC","Zebra"
"AO005610-CRT","AO005610","Barcode Scanner","AO005610-SCN","1978917-0069-SCN","1978917-0069-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005671-CRT","AO005671","Barcode Scanner","AO005671-SCN","1978917-0071-SCN","1978917-0071-SCN","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005570-CRT","AO005570","Barcode Scanner","AO005570-SCN","1978917-0072-SCN","1978917-0072-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005653-CRT","AO005653","Barcode Scanner","AO005653-SCN","1978917-0077-SCN","1978917-0077-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005576-CRT","AO005576","Barcode Scanner","AO005576-SCN","1978917-0080-SCN","1978917-0080-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005644-CRT","AO005644","Barcode Scanner","AO005644-SCN","1978917-0102-SCN","1978917-0102-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005571-CRT","AO005571","Barcode Scanner","AO005571-SCN","1979619-0007-SCN","1979619-0007-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005552-CRT","AO005552","Barcode Scanner","AO005552-SCN","1979619-0009-SCN","1979619-0009-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005616-CRT","AO005616","Barcode Scanner","AO005616-SCN","1979619-0010-SCN","1979619-0010-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005585-CRT","AO005585","Barcode Scanner","AO005585-SCN","1991052-0011-SCN","1991052-0011-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005611-CRT","AO005611","Barcode Scanner","AO005611-SCN","1991052-0012-SCN","1991052-0012-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005590-CRT","AO005590","Barcode Scanner","AO005590-SCN","1991510-0006-SCN","1991510-0006-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005615-CRT","AO005615","Barcode Scanner","AO005615-SCN","1991510-0008-SCN","1991510-0008-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005660-CRT","AO005660","Barcode Scanner","AO005660-SCN","1991510-0075-SCN","1991510-0075-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
